source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-others/disease/oasis3	sub-OAS30483_ses-d0006_dwi.sz	2 2 2 	4/44	1400.000000	0.949660	0.867334	0.685191
data-others/disease/oasis3	sub-OAS30483_ses-d0020_dwi.sz	2 2 2 	4/44	1400.000000	0.831406	0.700764	0.190095
data-others/disease/oasis3	sub-OAS30483_ses-d0947_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.202541	0.990784	0.925234
data-others/disease/oasis3	sub-OAS30483_ses-d0947_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.879008	0.876245	0.557197
data-others/disease/oasis3	sub-OAS30483_ses-d2290_dwi.sz	2 2 2 	3/66	2000.000000	1.036781	0.962984	0.844742
data-others/disease/oasis3	sub-OAS30484_ses-d0056_dwi.sz	2 2 2 	2/22	1400.000000	0.911745	0.878815	0.603934
data-others/disease/oasis3	sub-OAS30484_ses-d0069_dwi.sz	2 2 2 	4/44	1400.000000	0.883474	0.837205	0.458860
data-others/disease/oasis3	sub-OAS30484_ses-d0557_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.196968	0.990347	0.916332
data-others/disease/oasis3	sub-OAS30484_ses-d0557_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.850279	0.857051	0.482061
data-others/disease/oasis3	sub-OAS30484_ses-d1065_dwi.sz	2 2 2 	4/44	1400.000000	0.917952	0.813896	0.533658
data-others/disease/oasis3	sub-OAS30486_ses-d0075_dwi.sz	2 2 2 	2/48	1400.000000	1.291700	0.984799	0.921284
data-others/disease/oasis3	sub-OAS30486_ses-d1295_dwi.sz	2 2 2 	4/44	1400.000000	0.956804	0.867442	0.671980
data-others/disease/oasis3	sub-OAS30486_ses-d1300_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.266141	0.991148	0.921095
data-others/disease/oasis3	sub-OAS30486_ses-d1300_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.960518	0.899556	0.581892
data-others/disease/oasis3	sub-OAS30487_ses-d0064_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.955991	0.913740	0.752868
data-others/disease/oasis3	sub-OAS30487_ses-d1338_dwi.sz	2 2 2 	4/44	1400.000000	0.927363	0.869731	0.684702
data-others/disease/oasis3	sub-OAS30487_ses-d2165_dwi.sz	2 2 2 	4/44	1400.000000	0.932121	0.863995	0.638923
data-others/disease/oasis3	sub-OAS30489_ses-d0012_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.961186	0.883066	0.721853
data-others/disease/oasis3	sub-OAS30490_ses-d0412_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.944756	0.885664	0.686990
data-others/disease/oasis3	sub-OAS30490_ses-d0574_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.960437	0.882872	0.658296
data-others/disease/oasis3	sub-OAS30490_ses-d1162_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.950400	0.876730	0.631389
data-others/disease/oasis3	sub-OAS30491_ses-d0074_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.217901	0.989548	0.919424
